rollout/,ep_len_mean,ep_rew_mean,time/,fps,iterations,time_elapsed,total_timesteps,train/,approx_kl,clip_fraction,clip_range,entropy_loss,explained_variance,learning_rate,loss,n_updates,policy_gradient_loss,value_loss
,20.3,-10.3,,65,1,31,2048,,,,,,,,,,,
,22.3,-10.3,,66,2,61,4096,,0.0057319277,0.028,0.2,-1.38,-0.00488,0.0003,3.61,10.0,-0.00634,12.1
,26.5,-10.2,,70,3,87,6144,,0.010144373,0.0813,0.2,-1.37,-0.0271,0.0003,1.28,20.0,-0.0116,3.82
,31.2,-10.4,,74,4,109,8192,,0.009568722,0.0843,0.2,-1.34,-0.0114,0.0003,0.97,30.0,-0.0118,2.24
,40.2,-10.3,,79,5,128,10240,,0.010341857,0.0955,0.2,-1.32,0.0495,0.0003,0.643,40.0,-0.0122,1.55
,49.1,-10.1,,84,6,145,12288,,0.010649663,0.0886,0.2,-1.28,0.0557,0.0003,0.623,50.0,-0.0123,1.52
,59.5,-9.91,,89,7,160,14336,,0.011713,0.089,0.2,-1.23,0.144,0.0003,0.541,60.0,-0.0115,1.38
,65.0,-9.96,,93,8,175,16384,,0.008492192,0.078,0.2,-1.2,0.0199,0.0003,0.515,70.0,-0.01,1.44
,71.2,-9.74,,95,9,192,18432,,0.0069453097,0.054,0.2,-1.17,0.0971,0.0003,0.96,80.0,-0.00607,1.77
,69.6,-9.57,,98,10,208,20480,,0.006412492,0.0614,0.2,-1.11,0.0348,0.0003,1.29,90.0,-0.00845,1.98
,77.3,-9.42,,101,11,222,22528,,0.009031872,0.109,0.2,-1.09,-0.00604,0.0003,1.84,100.0,-0.00989,2.48
,87.5,-9.25,,104,12,234,24576,,0.008209443,0.0895,0.2,-1.05,0.0643,0.0003,0.653,110.0,-0.0107,1.9
,95.6,-9.1,,107,13,246,26624,,0.008781649,0.0606,0.2,-1.01,0.0684,0.0003,1.27,120.0,-0.00687,2.07
,107.0,-9.01,,110,14,259,28672,,0.012261295,0.135,0.2,-0.973,0.0534,0.0003,0.997,130.0,-0.00985,2.29
,118.0,-8.74,,113,15,271,30720,,0.00850673,0.088,0.2,-0.95,0.0242,0.0003,1.68,140.0,-0.00623,2.91
,132.0,-8.55,,116,16,281,32768,,0.011517939,0.0972,0.2,-0.962,0.0788,0.0003,1.27,150.0,-0.00978,2.33
,146.0,-8.5,,118,17,293,34816,,0.00864643,0.0809,0.2,-0.966,0.0577,0.0003,0.788,160.0,-0.00554,1.64
,157.0,-8.74,,120,18,305,36864,,0.007232299,0.086,0.2,-0.976,0.135,0.0003,1.16,170.0,-0.00691,2.32
,168.0,-8.51,,122,19,318,38912,,0.007609354,0.0833,0.2,-0.936,0.0591,0.0003,1.28,180.0,-0.00632,2.36
,175.0,-8.14,,124,20,329,40960,,0.009043414,0.0858,0.2,-0.917,-0.00448,0.0003,2.03,190.0,-0.00655,3.45
,170.0,-7.77,,125,21,342,43008,,0.005529098,0.0436,0.2,-0.9,-0.0374,0.0003,2.23,200.0,-0.0042,4.41
,180.0,-7.31,,127,22,353,45056,,0.0070848037,0.0535,0.2,-0.889,0.0977,0.0003,1.65,210.0,-0.00391,3.38
,189.0,-7.02,,129,23,364,47104,,0.005311245,0.0528,0.2,-0.877,0.183,0.0003,2.39,220.0,-0.00369,3.31
,198.0,-7.04,,130,24,375,49152,,0.0075045433,0.0646,0.2,-0.884,0.149,0.0003,0.524,230.0,-0.00479,2.77
,193.0,-6.97,,132,25,387,51200,,0.008793613,0.076,0.2,-0.899,0.0552,0.0003,1.44,240.0,-0.00613,2.82
,193.0,-6.78,,133,26,400,53248,,0.005393359,0.0605,0.2,-0.906,0.007,0.0003,1.21,250.0,-0.00667,4.81
,193.0,-6.48,,134,27,411,55296,,0.007173578,0.0948,0.2,-0.906,0.18,0.0003,1.61,260.0,-0.00608,2.72
,199.0,-6.27,,135,28,422,57344,,0.010088531,0.0993,0.2,-0.888,0.114,0.0003,0.97,270.0,-0.00548,2.79
,208.0,-6.57,,137,29,433,59392,,0.008699821,0.0957,0.2,-0.896,0.0753,0.0003,1.42,280.0,-0.0043,2.88
,218.0,-6.23,,138,30,443,61440,,0.0074675325,0.0728,0.2,-0.866,0.129,0.0003,0.917,290.0,-0.00345,2.03
,230.0,-6.25,,139,31,455,63488,,0.0050322046,0.0528,0.2,-0.823,0.21,0.0003,2.2,300.0,-0.00334,3.48
,234.0,-6.16,,140,32,466,65536,,0.006301945,0.0648,0.2,-0.807,0.313,0.0003,2.09,310.0,-0.0038,2.71
,245.0,-5.62,,141,33,477,67584,,0.0068672956,0.0787,0.2,-0.805,0.617,0.0003,1.02,320.0,-0.00526,1.93
,235.0,-5.9,,142,34,489,69632,,0.0072179344,0.073,0.2,-0.782,-0.121,0.0003,3.3,330.0,-0.00661,4.99
,232.0,-4.96,,143,35,499,71680,,0.0078073423,0.0795,0.2,-0.788,0.177,0.0003,4.33,340.0,-0.00519,5.47
,239.0,-4.39,,144,36,510,73728,,0.007898624,0.0646,0.2,-0.768,0.238,0.0003,1.97,350.0,-0.00674,3.63
,247.0,-4.23,,145,37,521,75776,,0.012734919,0.105,0.2,-0.761,0.166,0.0003,1.52,360.0,-0.00629,3.11
,243.0,-3.8,,145,38,533,77824,,0.009882077,0.112,0.2,-0.77,0.191,0.0003,1.7,370.0,-0.00846,5.23
,231.0,-3.52,,146,39,545,79872,,0.0070547094,0.0823,0.2,-0.781,0.249,0.0003,2.74,380.0,-0.00509,4.38
,234.0,-2.45,,147,40,557,81920,,0.0113645885,0.103,0.2,-0.831,0.254,0.0003,1.87,390.0,-0.00771,5.02
,229.0,-2.16,,147,41,569,83968,,0.0063703083,0.0748,0.2,-0.802,0.286,0.0003,1.44,400.0,-0.00555,4.44
,227.0,-1.64,,148,42,579,86016,,0.0087222345,0.0735,0.2,-0.821,0.148,0.0003,3.87,410.0,-0.00398,4.66
,221.0,-1.02,,149,43,590,88064,,0.006843943,0.0782,0.2,-0.817,0.367,0.0003,2.8,420.0,-0.00504,3.28
,215.0,-0.725,,149,44,602,90112,,0.0046330336,0.0387,0.2,-0.782,0.264,0.0003,3.17,430.0,-0.00128,6.12
,201.0,-0.928,,149,45,615,92160,,0.008144379,0.105,0.2,-0.805,0.399,0.0003,1.76,440.0,-0.00686,5.12
,193.0,-0.3,,150,46,627,94208,,0.0055566574,0.0458,0.2,-0.808,0.324,0.0003,4.68,450.0,-0.00323,7.65
,186.0,0.117,,150,47,639,96256,,0.0061151446,0.0615,0.2,-0.795,0.261,0.0003,4.79,460.0,-0.00424,6.87
,172.0,-0.181,,150,48,652,98304,,0.0060011055,0.071,0.2,-0.75,0.356,0.0003,1.88,470.0,-0.00451,6.41
,169.0,0.118,,151,49,664,100352,,0.007907004,0.0875,0.2,-0.759,0.204,0.0003,2.72,480.0,-0.00542,8.57
,151.0,-0.303,,151,50,676,102400,,0.007853053,0.0792,0.2,-0.759,0.351,0.0003,2.99,490.0,-0.00461,6.38
,144.0,-0.353,,151,51,689,104448,,0.00810455,0.0972,0.2,-0.737,0.288,0.0003,3.3,500.0,-0.0076,7.55
,138.0,-0.589,,151,52,702,106496,,0.0071384264,0.0937,0.2,-0.756,0.138,0.0003,5.11,510.0,-0.00804,9.78
,143.0,-0.281,,151,53,715,108544,,0.00889805,0.0782,0.2,-0.743,0.234,0.0003,2.33,520.0,-0.00397,7.02
,138.0,-0.25,,151,54,729,110592,,0.005307799,0.0571,0.2,-0.706,0.374,0.0003,4.11,530.0,-0.00454,6.44
,136.0,0.856,,151,55,742,112640,,0.0073383264,0.0763,0.2,-0.715,0.12,0.0003,5.99,540.0,-0.00745,10.2
,131.0,0.481,,152,56,754,114688,,0.006091986,0.0615,0.2,-0.682,0.162,0.0003,7.55,550.0,-0.00631,10.6
,126.0,0.18,,151,57,768,116736,,0.0076107923,0.0822,0.2,-0.706,0.122,0.0003,5.13,560.0,-0.0054,8.43
,119.0,0.117,,151,58,783,118784,,0.0038214093,0.0425,0.2,-0.699,0.182,0.0003,3.3,570.0,-0.00263,8.58
,111.0,0.177,,151,59,797,120832,,0.007309179,0.0907,0.2,-0.661,0.184,0.0003,4.14,580.0,-0.00828,8.27
,102.0,-0.756,,151,60,811,122880,,0.0075448845,0.0854,0.2,-0.676,0.307,0.0003,4.6,590.0,-0.00702,9.45
