avg_fruit,avg_decayfruit,avg_enemyfruit,rollout/,ep_len_mean,ep_rew_mean,time/,fps,iterations,time_elapsed,total_timesteps,train/,approx_kl,clip_fraction,clip_range,entropy_loss,explained_variance,learning_rate,loss,n_updates,policy_gradient_loss,value_loss
0,2,0,,188,338,,181,1,11,1502048,,,,,,,,,,,
0,1,0,,182,332,,164,2,24,1504096,,0.008215703,0.0643,0.2,-0.2,0.329,0.0003,431.0,7330.0,-0.000345,1050.0
0,8,0,,178,317,,165,3,37,1506144,,0.005147245,0.0502,0.2,-0.217,0.315,0.0003,419.0,7340.0,-0.00382,1170.0
0,3,0,,184,326,,163,4,49,1508192,,0.0076565137,0.0553,0.2,-0.2,0.199,0.0003,267.0,7350.0,-0.00174,889
0,3,0,,189,332,,163,5,62,1510240,,0.008398071,0.0541,0.2,-0.194,0.196,0.0003,521.0,7360.0,-0.00533,1110.0
1,5,0,,201,344,,164,6,74,1512288,,0.0062500294,0.0598,0.2,-0.211,0.196,0.0003,546.0,7370.0,3.02e-05,1070.0
0,9,1,,209,356,,165,7,86,1514336,,0.009262982,0.108,0.2,-0.192,0.21,0.0003,244.0,7380.0,0.0252,575
0,5,2,,214,365,,165,8,99,1516384,,0.0054652574,0.0447,0.2,-0.203,0.287,0.0003,310.0,7390.0,-0.00404,858
0,3,0,,218,376,,164,9,111,1518432,,0.005016544,0.0509,0.2,-0.223,0.242,0.0003,154.0,7400.0,-0.00356,781
1,11,4,,220,380,,165,10,123,1520480,,0.0032935531,0.033,0.2,-0.218,0.28,0.0003,543.0,7410.0,-0.0022,1110.0
0,11,5,,223,384,,164,11,136,1522528,,0.0071096113,0.0466,0.2,-0.229,0.219,0.0003,285.0,7420.0,-0.00409,993
0,2,0,,210,360,,163,12,150,1524576,,0.003972831,0.0456,0.2,-0.215,0.244,0.0003,504.0,7430.0,-0.00201,1020.0
0,8,1,,206,354,,162,13,163,1526624,,0.006550599,0.0639,0.2,-0.22,0.197,0.0003,483.0,7440.0,-0.0033,1170.0
0,3,0,,203,356,,162,14,176,1528672,,0.008417594,0.057,0.2,-0.237,0.174,0.0003,241.0,7450.0,-0.00467,976
0,4,1,,199,354,,162,15,189,1530720,,0.0069340114,0.0486,0.2,-0.212,0.209,0.0003,594.0,7460.0,-0.000739,1220.0
0,4,2,,195,348,,161,16,202,1532768,,0.0066867936,0.0551,0.2,-0.191,0.323,0.0003,437.0,7470.0,-0.00289,1240.0
0,0,0,,184,342,,161,17,215,1534816,,0.0066547603,0.0733,0.2,-0.221,0.223,0.0003,167.0,7480.0,0.00224,915
1,4,2,,190,347,,162,18,226,1536864,,0.0060906787,0.0701,0.2,-0.212,0.368,0.0003,292.0,7490.0,-0.000633,933
1,10,1,,187,334,,162,19,239,1538912,,0.015884325,0.0642,0.2,-0.231,0.407,0.0003,380.0,7500.0,-0.000859,728
0,1,0,,186,338,,162,20,252,1540960,,0.010528933,0.0619,0.2,-0.197,0.311,0.0003,595.0,7510.0,0.000774,812
0,7,0,,192,354,,162,21,264,1543008,,0.008219593,0.0559,0.2,-0.218,0.286,0.0003,530.0,7520.0,-0.00241,1230.0
0,3,0,,203,379,,162,22,277,1545056,,0.006963655,0.052,0.2,-0.215,0.23,0.0003,463.0,7530.0,-0.00342,1310.0
