rollout/,ep_len_mean,ep_rew_mean,exploration_rate,time/,episodes,fps,time_elapsed,total_timesteps,train/,learning_rate,loss,n_updates
,12.0,-12.6,1.0,,4,34,1,48,,,,
,16.0,-14.6,1.0,,8,47,2,128,,,,
,17.5,-14.1,1.0,,12,54,3,210,,,,
,15.8,-13.7,0.999,,16,51,4,252,,,,
,15.2,-9.43,0.999,,20,49,6,303,,,,
,15.3,-9.98,0.999,,24,50,7,367,,,,
,14.5,-10.3,0.999,,28,48,8,405,,,,
,14.1,-10.6,0.999,,32,48,9,452,,,,
,14.2,-10.8,0.999,,36,48,10,510,,,,
,13.2,-11.3,0.999,,40,45,11,528,,,,
,13.2,-11.8,0.999,,44,46,12,583,,,,
,13.4,-11.8,0.999,,48,46,13,643,,,,
,13.9,-11.9,0.998,,52,48,14,725,,,,
,13.8,-11.9,0.998,,56,48,16,770,,,,
,13.5,-12.0,0.998,,60,47,17,812,,,,
,13.9,-12.3,0.998,,64,48,18,887,,,,
,14.2,-12.5,0.998,,68,49,19,964,,,,
,14.5,-12.5,0.998,,72,50,20,1047,,,,
,16.0,-12.8,0.997,,76,55,21,1214,,,,
,15.8,-12.8,0.997,,80,54,23,1266,,,,
,15.9,-13.1,0.997,,84,55,24,1335,,,,
,16.2,-13.1,0.997,,88,56,25,1424,,,,
,16.2,-12.2,0.997,,92,56,26,1488,,,,
,16.7,-12.2,0.996,,96,58,27,1604,,,,
,16.8,-11.5,0.996,,100,58,28,1681,,,,
,17.3,-11.5,0.996,,104,59,30,1775,,,,
,17.5,-11.1,0.996,,108,60,31,1876,,,,
,17.4,-11.1,0.996,,112,60,32,1945,,,,
,17.3,-11.1,0.996,,116,59,33,1983,,,,
,17.7,-11.7,0.995,,120,60,34,2075,,,,
,18.3,-11.7,0.995,,124,61,35,2194,,,,
,18.7,-11.7,0.995,,128,61,36,2272,,,,
,18.7,-11.1,0.995,,132,61,37,2318,,,,
,18.4,-11.1,0.995,,136,60,38,2354,,,,
,19.0,-11.0,0.995,,140,60,39,2428,,,,
,18.6,-10.8,0.994,,144,59,40,2445,,,,
,18.8,-10.8,0.994,,148,60,42,2525,,,,
,18.8,-10.8,0.994,,152,60,43,2600,,,,
,21.0,-10.4,0.994,,156,64,44,2868,,,,
,21.4,-10.4,0.993,,160,64,45,2953,,,,
,21.4,-10.4,0.993,,164,64,47,3025,,,,
,21.6,-10.6,0.993,,168,64,48,3123,,,,
,21.7,-10.7,0.993,,172,65,49,3221,,,,
,20.8,-10.5,0.993,,176,65,50,3291,,,,
,21.4,-10.6,0.992,,180,65,51,3409,,,,
,21.4,-9.22,0.992,,184,65,52,3479,,,,
,21.1,-9.2,0.992,,188,65,53,3531,,,,
,21.3,-10.1,0.992,,192,65,55,3618,,,,
,21.0,-10.0,0.992,,196,65,56,3706,,,,
,20.9,-9.44,0.992,,200,65,57,3770,,,,
,21.0,-9.45,0.991,,204,66,58,3871,,,,
,21.0,-9.6,0.991,,208,66,59,3976,,,,
,21.7,-9.64,0.991,,212,67,61,4114,,,,
,21.6,-9.65,0.991,,216,66,62,4147,,,,
,21.0,-9.83,0.991,,220,66,63,4177,,,,
,20.3,-9.81,0.99,,224,65,64,4227,,,,
,19.8,-9.79,0.99,,228,65,65,4255,,,,
,19.7,-10.4,0.99,,232,64,66,4290,,,,
,19.6,-10.5,0.99,,236,64,67,4318,,,,
,19.4,-10.5,0.99,,240,64,68,4367,,,,
,19.6,-10.5,0.99,,244,63,69,4407,,,,
,19.1,-10.5,0.99,,248,63,70,4435,,,,
,18.8,-10.5,0.99,,252,62,71,4476,,,,
,16.5,-10.9,0.99,,256,62,72,4522,,,,
,16.3,-10.9,0.99,,260,62,73,4582,,,,
,16.1,-10.7,0.99,,264,62,74,4637,,,,
,15.8,-10.4,0.989,,268,62,75,4703,,,,
,15.7,-10.3,0.989,,272,62,76,4795,,,,
,16.0,-10.3,0.989,,276,62,77,4895,,,,
,15.7,-10.3,0.989,,280,63,78,4982,,,,
,17.0,-11.6,0.988,,284,64,80,5183,,,,
,17.0,-11.5,0.988,,288,64,81,5227,,,,
,16.4,-11.5,0.988,,292,63,82,5260,,,,
,16.4,-11.5,0.988,,296,63,83,5343,,,,
,16.2,-12.9,0.988,,300,63,84,5388,,,,
,15.4,-12.9,0.988,,304,63,85,5414,,,,
,15.7,-12.7,0.988,,308,63,86,5543,,,,
,14.8,-12.7,0.987,,312,63,87,5589,,,,
,15.3,-12.7,0.987,,316,63,88,5674,,,,
,16.7,-12.8,0.987,,320,64,90,5851,,,,
,17.7,-12.8,0.987,,324,65,91,5995,,,,
,18.5,-12.6,0.986,,328,65,92,6105,,,,
,19.7,-12.2,0.986,,332,66,94,6258,,,,
,20.2,-12.1,0.986,,336,66,95,6340,,,,
,20.4,-11.9,0.986,,340,66,96,6409,,,,
,20.5,-11.9,0.985,,344,66,97,6455,,,,
,21.1,-11.7,0.985,,348,66,98,6541,,,,
,21.1,-11.8,0.985,,352,66,99,6583,,,,
,21.4,-11.8,0.985,,356,66,100,6663,,,,
,21.3,-11.8,0.985,,360,65,101,6714,,,,
,21.6,-11.8,0.985,,364,65,103,6798,,,,
,21.5,-11.8,0.985,,368,65,104,6857,,,,
,21.4,-11.9,0.984,,372,65,105,6931,,,,
,21.8,-11.7,0.984,,376,66,106,7071,,,,
,21.1,-11.7,0.984,,380,66,107,7097,,,,
,19.8,-11.5,0.984,,384,65,108,7161,,,,
,19.9,-11.5,0.984,,388,65,109,7213,,,,
,19.9,-11.3,0.984,,392,65,110,7248,,,,
,20.8,-11.4,0.983,,396,66,111,7421,,,,
,21.1,-10.6,0.983,,400,66,113,7494,,,,
,21.6,-10.7,0.983,,404,66,114,7569,,,,
,21.3,-10.9,0.983,,408,66,115,7670,,,,
,21.3,-11.1,0.983,,412,66,116,7720,,,,
,21.9,-11.0,0.982,,416,66,117,7864,,,,
,21.6,-10.8,0.982,,420,67,119,8012,,,,
,20.6,-10.8,0.982,,424,67,120,8050,,,,
,20.4,-10.9,0.982,,428,67,121,8147,,,,
,19.5,-11.1,0.982,,432,67,122,8208,,,,
,20.2,-11.3,0.981,,436,67,123,8365,,,,
,19.8,-11.5,0.981,,440,67,124,8385,,,,
,19.7,-11.5,0.981,,444,67,125,8425,,,,
,20.0,-11.9,0.981,,448,67,126,8539,,,,
,20.4,-11.9,0.981,,452,67,128,8623,,,,
,20.9,-10.9,0.98,,456,67,129,8749,,,,
,22.1,-10.9,0.98,,460,68,130,8923,,,,
,21.8,-11.1,0.98,,464,68,131,8980,,,,
,22.0,-11.2,0.98,,468,68,132,9058,,,,
,21.9,-11.2,0.979,,472,68,134,9122,,,,
,21.0,-11.4,0.979,,476,67,135,9171,,,,
,21.0,-11.4,0.979,,480,67,136,9199,,,,
,20.6,-11.4,0.979,,484,67,137,9225,,,,
,20.8,-11.4,0.979,,488,67,138,9297,,,,
,21.4,-11.6,0.979,,492,67,139,9388,,,,
,20.1,-11.5,0.979,,496,67,140,9434,,,,
,19.8,-12.1,0.979,,500,67,141,9473,,,,
,19.8,-12.0,0.979,,504,67,142,9544,,,,
,19.6,-11.9,0.978,,508,67,143,9627,,,,
,20.8,-11.8,0.978,,512,67,144,9800,,,,
,20.2,-11.9,0.978,,516,67,146,9885,,,,
,19.2,-12.0,0.978,,520,67,147,9928,,,,
,19.9,-11.1,0.977,,524,67,148,10045,,0.0001,2.52,11.0
,19.3,-11.1,0.977,,528,67,149,10076,,0.0001,0.735,18.0
,19.4,-11.3,0.977,,532,67,151,10150,,0.0001,0.733,37.0
,18.3,-11.1,0.977,,536,67,152,10193,,0.0001,0.55,48.0
,19.1,-11.1,0.977,,540,67,153,10295,,0.0001,2.41,73.0
,19.5,-11.6,0.977,,544,67,154,10371,,0.0001,0.732,92.0
,19.6,-11.5,0.976,,548,67,155,10500,,0.0001,0.367,124.0
,19.5,-11.3,0.976,,552,67,157,10574,,0.0001,0.731,143.0
,18.9,-12.4,0.976,,556,67,158,10637,,0.0001,0.186,159.0
,17.6,-12.6,0.976,,560,67,159,10685,,0.0001,0.908,171.0
,17.7,-12.4,0.976,,564,67,160,10749,,0.0001,1.09,187.0
,17.5,-12.3,0.976,,568,66,161,10810,,0.0001,0.909,202.0
,17.3,-12.1,0.976,,572,66,162,10849,,0.0001,0.365,212.0
,18.1,-12.3,0.975,,576,67,163,10981,,0.0001,2.25,245.0
,18.5,-12.3,0.975,,580,66,165,11052,,0.0001,1.08,262.0
,18.8,-12.3,0.975,,584,66,166,11104,,0.0001,0.902,275.0
,18.8,-12.3,0.975,,588,66,167,11177,,0.0001,0.183,294.0
,18.9,-12.3,0.975,,592,66,168,11275,,0.0001,2.45,318.0
,19.2,-12.3,0.974,,596,66,169,11352,,0.0001,0.00344,337.0
,19.6,-12.5,0.974,,600,66,170,11429,,0.0001,0.363,357.0
,19.9,-12.6,0.974,,604,66,172,11531,,0.0001,0.54,382.0
,19.8,-12.6,0.974,,608,66,173,11611,,0.0001,0.585,402.0
,19.3,-12.7,0.974,,612,67,174,11732,,0.0001,1.48,432.0
,18.8,-12.7,0.974,,616,66,175,11760,,0.0001,0.719,439.0
,19.4,-12.9,0.973,,620,67,176,11867,,0.0001,0.544,466.0
,18.5,-13.8,0.973,,624,66,178,11891,,0.0001,0.362,472.0
,18.7,-13.8,0.973,,628,66,179,11947,,0.0001,0.358,486.0
,18.9,-14.1,0.973,,632,66,180,12040,,0.0001,1.07,509.0
,19.1,-14.1,0.973,,636,66,181,12105,,0.0001,0.897,526.0
,19.7,-14.2,0.972,,640,67,182,12264,,0.0001,0.717,565.0
,19.9,-13.3,0.972,,644,67,184,12358,,0.0001,1.02,589.0
,19.3,-13.3,0.972,,648,67,185,12429,,0.0001,0.539,607.0
