rollout/,ep_len_mean,ep_rew_mean,exploration_rate,time/,episodes,fps,time_elapsed,total_timesteps,avg_fruit,avg_decayfruit,avg_enemyfruit,train/,learning_rate,loss,n_updates
,26.0,-25.3,1.0,,4,67,1,104,,,,,,,
,16.8,-25.2,1.0,,8,52,2,134,,,,,,,
,12.6,-25.1,1.0,,12,42,3,151,,,,,,,
,15.9,-25.2,0.999,,16,53,4,255,,,,,,,
,17.9,-26.7,0.999,,20,60,5,358,,,,,,,
,19.7,-26.4,0.999,,24,65,7,472,,,,,,,
,18.7,-26.3,0.999,,28,63,8,523,,,,,,,
,18.7,-26.1,0.999,,32,63,9,598,,,,,,,
,19.6,-26.0,0.998,,36,65,10,707,,,,,,,
,20.8,-25.2,0.998,,40,69,11,831,,,,,,,
,20.0,-25.2,0.998,,44,67,13,880,,,,,,,
,20.4,-25.2,0.998,,48,68,14,977,,,,,,,
,19.7,-25.2,0.998,,52,66,15,1023,,,,,,,
,19.4,-25.2,0.997,,56,65,16,1086,,,,,,,
,18.8,-25.2,0.997,,60,64,17,1129,,,,,,,
,19.3,-25.2,0.997,,64,65,18,1235,,,,,,,
,18.9,-23.0,0.997,,68,64,19,1283,,,,,,,
,18.9,-23.5,0.997,,72,65,20,1363,,,,,,,
,19.0,-23.6,0.997,,76,65,22,1442,,,,,,,
,18.6,-24.1,0.996,,80,64,23,1485,,,,,,,
,18.1,-24.1,0.996,,84,62,24,1520,,,,,,,
,17.8,-24.5,0.996,,88,62,25,1570,,,,,,,
,18.0,-23.2,0.996,,92,62,26,1660,,,,,,,
,18.1,-23.3,0.996,,96,63,27,1740,,,,,,,
,18.4,-23.4,0.996,,100,64,28,1839,,,,,,,
,17.7,-23.4,0.996,,104,62,29,1871,,,,,,,
,17.6,-23.4,0.996,,108,61,30,1893,,,,,,,
,18.2,-23.4,0.995,,112,61,31,1972,,,,,,,
,18.2,-21.6,0.995,,116,62,33,2076,,,,,,,
,17.9,-21.6,0.995,,120,62,34,2146,,,,,,,
,17.1,-21.6,0.995,,124,61,35,2179,,,,,,,
,17.4,-21.6,0.995,,128,61,36,2265,,,,,,,
,17.8,-21.6,0.994,,132,62,37,2373,,,,,,,
,17.1,-21.6,0.994,,136,62,38,2421,,,,,,,
,16.7,-21.9,0.994,,140,62,40,2504,,,,,,,
,16.7,-21.9,0.994,,144,61,41,2551,,,,,,,
,16.6,-21.9,0.994,,148,62,42,2639,,,,,,,
,17.1,-21.6,0.993,,152,62,43,2737,,,,,,,
,17.3,-21.9,0.993,,156,63,44,2814,,,,,,,
,17.7,-20.7,0.993,,160,63,45,2899,,,,,,,
,16.9,-21.0,0.993,,164,62,46,2930,,,,,,,
,17.7,-22.5,0.993,,168,63,48,3050,,,,,,,
,17.0,-22.2,0.993,,172,62,49,3067,,,,,,,
,17.3,-21.9,0.992,,176,63,50,3174,,,,,,,
,17.3,-21.6,0.992,,180,62,51,3218,,,,,,,
,18.7,-21.9,0.992,,184,64,52,3393,,,,,,,
,19.2,-21.6,0.992,,188,64,53,3495,,,,,,,
,19.0,-22.8,0.992,,192,64,54,3558,,,,,,,
,19.1,-22.8,0.991,,196,65,56,3648,,,,,,,
,19.1,-22.8,0.991,,200,65,57,3750,,,,,,,
,19.3,-22.8,0.991,,204,65,58,3802,,,,,,,
,19.7,-22.8,0.991,,208,65,59,3866,,,,,,,
,19.5,-22.8,0.991,,212,64,60,3926,,,,,,,
,19.4,-24.9,0.99,,216,65,61,4018,,,,,,,
,19.7,-24.6,0.99,,220,65,62,4119,,,,,,,
,20.2,-24.6,0.99,,224,65,63,4200,,,,,,,
,19.9,-24.6,0.99,,228,65,64,4252,,,,,,,
,20.4,-24.6,0.99,,232,66,66,4414,,,,,,,
,20.8,-23.4,0.989,,236,66,67,4496,,,,,,,
,20.1,-23.4,0.989,,240,66,68,4518,,,,,,,
,20.6,-23.1,0.989,,244,66,69,4611,,,,,,,
,20.5,-23.4,0.989,,248,66,70,4693,,,,,,,
,20.7,-22.2,0.989,,252,66,71,4809,,,,,,,
,20.9,-22.2,0.988,,256,67,73,4899,,,,,,,
,20.4,-23.4,0.988,,260,66,74,4937,,,,,,,
,21.3,-23.4,0.988,,264,67,75,5062,,,,,,,
,21.4,-23.4,0.988,,268,67,76,5193,,,,,,,
,22.6,-23.4,0.987,,272,68,77,5331,,,,,,,
,22.9,-24.0,0.987,,276,68,79,5465,,,,,,,
,23.0,-24.0,0.987,,280,68,80,5518,,,,,,,
,21.6,-23.7,0.987,,284,68,81,5558,,,,,,,
,21.4,-24.0,0.987,,288,68,82,5630,,,,,,,
,21.3,-24.0,0.986,,292,68,83,5692,,,,,,,
,21.3,-24.6,0.986,,296,68,84,5778,,,,,,,
,21.6,-24.6,0.986,,300,68,86,5905,,,,,,,
,21.3,-24.6,0.986,,304,68,87,5936,,,,,,,
,21.4,-24.6,0.986,,308,68,88,6005,,,,,,,
,21.5,-24.6,0.986,,312,68,89,6074,,,,,,,
,21.3,-24.3,0.985,,316,68,90,6148,,,,,,,
,21.2,-24.3,0.985,,320,68,91,6236,,,,,,,
,20.7,-24.3,0.985,,324,67,92,6272,,,,,,,
,20.9,-24.3,0.985,,328,67,93,6343,,,,,,,
,20.1,-23.7,0.985,,332,67,94,6423,,,,,,,
,20.2,-24.9,0.985,,336,67,96,6516,,,,,,,
,20.6,-24.9,0.984,,340,67,97,6581,,,,,,,
,20.3,-25.2,0.984,,344,67,98,6639,,,,,,,
,19.8,-24.9,0.984,,348,67,99,6677,,,,,,,
,19.5,-26.4,0.984,,352,67,100,6755,,,,,,,
,19.2,-26.1,0.984,,356,67,101,6822,,,,,,,
,19.4,-26.1,0.984,,360,66,102,6877,,,,,,,
,18.8,-25.8,0.984,,364,66,103,6937,,,,,,,
,18.6,-26.4,0.983,,368,67,105,7055,,,,,,,
,18.0,-26.7,0.983,,372,67,106,7133,,,,,,,
,17.2,-26.4,0.983,,376,66,107,7182,,,,,,,
,17.4,-26.7,0.983,,380,66,108,7256,,,,,,,
,18.2,-26.7,0.982,,384,67,109,7376,,,,,,,
,17.8,-26.4,0.982,,388,67,110,7413,,,,,,,
,17.7,-26.4,0.982,,392,66,111,7458,,,,,,,
,17.5,-25.5,0.982,,396,66,112,7532,,,,,,,
,17.5,-25.5,0.982,,400,67,113,7655,,,,,,,
,17.4,-25.5,0.982,,404,66,114,7681,,,,,,,
,17.6,-25.5,0.982,,408,66,116,7761,,,,,,,
,17.8,-25.5,0.981,,412,67,117,7857,,,,,,,
,17.7,-25.5,0.981,,416,66,118,7914,,,,,,,
,17.2,-25.5,0.981,,420,66,119,7954,,,,,,,
